miRNA_Name	EC18	EC19	EC38	EC54	EC63	EC64	EC65	EC7	EU18	EU19	EU38	EU54	EU63	EU64	EU65	EU7
hsa-miR-4443	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-550a-3p	49	50	49	40	45	38	65	39	61	74	77	109	72	81	76	50
hsa-miR-6505-5p	1	3	3	2	0	2	2	0	1	2	4	2	1	2	2	5
hsa-miR-6855-5p	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-6874-3p	2	3	2	0	0	1	0	0	1	2	0	1	0	0	0	0
hsa-miR-4449	1	5	3	4	0	4	9	7	7	8	4	2	1	4	3	2
hsa-miR-217	74	92	179	104	111	4	79	78	1	9	5	10	8	4	14	1
hsa-miR-518e-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-6716-3p	26	12	19	11	25	11	15	25	25	31	27	35	30	24	23	14
hsa-miR-6715b-3p	0	0	0	0	0	0	0	0	6	6	9	0	3	23	6	2
hsa-miR-3158-5p	1	4	1	4	1	0	0	4	3	4	2	4	5	6	4	12
hsa-miR-6891-5p	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
hsa-miR-5094	0	0	1	3	0	2	1	0	0	1	0	2	1	0	0	3
hsa-miR-5092	0	0	1	0	0	0	0	0	1	0	0	0	1	2	1	0
hsa-miR-5091	2	4	2	5	1	0	6	2	7	5	7	9	5	6	7	1
hsa-miR-4704-5p	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6833-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-1268b	2	5	4	1	5	2	7	3	6	3	6	7	5	7	11	2
hsa-miR-675-3p	10	72	47	15	30	29	14	21	325	341	184	716	351	223	362	238
hsa-miR-6784-3p	2	0	1	1	0	0	1	1	1	1	2	0	0	0	0	0
hsa-miR-422a	3	3	1	1	0	3	3	0	5	0	3	1	3	7	3	0
hsa-miR-6754-3p	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3065-5p	5	5	4	1	2	1	3	0	7	1	6	10	10	15	7	5
hsa-miR-184	3	5	2	1	4	3	4	0	21	22	15	20	10	23	21	20
hsa-miR-4700-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-200a-3p	208	184	855	78	127	33	188	223	11402	10662	13794	4254	9877	17119	11558	11016
hsa-miR-500b-3p	0	2	1	0	1	0	0	0	1	1	0	2	2	0	1	0
hsa-miR-1270	20	16	11	15	6	5	6	11	10	32	15	20	10	19	14	18
hsa-miR-154-3p	37	150	161	48	79	36	42	60	55	45	60	33	176	30	34	18
hsa-miR-324-3p	150	136	112	100	94	46	60	101	142	163	177	166	124	172	91	110
hsa-miR-5000-5p	0	3	0	0	2	3	1	2	3	2	1	2	0	3	1	1
hsa-miR-659-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4999-5p	4	3	7	5	2	1	0	4	4	4	5	4	1	5	0	6
hsa-miR-302a-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-645	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-509-3-5p	1	602	274	27	5	924	22	30	0	1	0	8	7	5	0	8
hsa-miR-152-5p	149	88	185	146	245	82	126	110	165	120	211	123	244	246	113	178
hsa-miR-148a-5p	425	554	631	682	520	271	619	673	791	1061	999	687	788	1574	725	1263
hsa-miR-641	67	78	65	29	42	396	52	60	93	131	92	186	88	1138	65	141
hsa-miR-2116-3p	20	6	8	12	18	4	7	16	12	10	11	32	12	8	13	11
hsa-miR-643	4	9	9	4	3	5	3	3	7	10	7	12	10	10	6	2
hsa-miR-135a-3p	0	10	3	0	0	6	0	0	4	5	10	21	5	8	4	6
hsa-miR-1537-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4699-3p	0	1	1	0	1	0	2	2	1	1	0	3	2	0	1	2
hsa-miR-6887-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6895-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3663-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-616-3p	0	2	1	3	1	0	2	4	1	1	2	0	2	2	2	1
hsa-miR-224-5p	453	428	783	324	335	93	263	237	2382	3671	2018	913	3031	1258	2991	607
hsa-miR-6750-5p	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-150-3p	14	4	5	9	4	5	11	17	5	8	3	5	9	2	13	0
hsa-miR-3646	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2114-5p	22	269	73	42	53	58	22	53	29	33	38	78	32	30	41	51
hsa-miR-3934-3p	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0
hsa-miR-148b-5p	1089	754	1119	979	908	371	887	796	1269	1428	1676	1605	1953	1831	1520	1939
hsa-miR-518a-5p	1	0	3	0	1	0	0	0	0	0	1	7	0	0	1	1
hsa-miR-3912-5p	3	0	2	4	1	2	1	2	2	4	4	4	0	2	1	2
hsa-miR-5692b	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-3614-5p	10	5	7	6	9	3	6	3	12	60	58	49	12	40	8	11
hsa-miR-7114-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4649-3p	4	0	3	7	4	1	3	1	0	1	1	0	0	1	1	0
hsa-miR-1914-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-3943	20	0	5	3	12	1	4	1	1	1	2	1	0	0	0	1
hsa-miR-4778-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6854-5p	1	1	1	1	5	0	2	3	3	0	1	2	3	1	1	0
hsa-miR-4720-5p	0	1	1	0	0	0	0	0	1	2	1	4	1	1	0	0
hsa-miR-548ay-3p	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
hsa-miR-5700	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0
hsa-miR-1285-3p	130	97	119	135	134	56	96	97	160	222	203	230	300	184	242	119
hsa-miR-765	2	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0
hsa-miR-1179	13	9	7	2	2	1	4	5	5	1	9	4	9	3	3	6
hsa-miR-4677-3p	72	23	43	65	41	35	62	45	36	32	41	43	65	51	69	46
hsa-miR-6759-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-484	2807	3186	2728	2392	1625	969	1952	2403	4497	5795	4529	4184	4522	2766	3384	3050
hsa-miR-7152-3p	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-219b-3p	2	6	3	4	3	2	4	3	5	5	4	5	5	4	10	3
hsa-miR-6508-3p	0	0	1	1	1	3	1	3	1	3	3	0	2	1	2	2
hsa-miR-3913-3p	2	1	1	1	1	2	1	1	0	7	3	0	1	4	1	2
hsa-miR-93-3p	202	288	148	137	105	82	120	111	217	304	348	518	255	345	277	452
hsa-miR-3150a-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7g-5p	63955	59481	57449	47288	70519	33768	47031	54905	59079	108650	94592	66325	97130	90434	97379	71257
hsa-miR-6751-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-543	60	460	186	50	67	77	50	131	171	259	103	110	219	123	100	95
hsa-miR-802	0	7	5	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1197	32	102	101	24	49	32	18	36	59	37	74	135	83	58	59	37
hsa-miR-1193	0	4	2	0	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-33a-3p	25	14	24	10	12	10	13	8	17	21	26	19	18	19	14	28
hsa-miR-4530	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4531	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1286	1	0	0	3	3	0	2	2	2	5	7	11	6	3	2	4
hsa-miR-4659b-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1284	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-934	0	0	4	0	1	0	1	1	12	6	47	13	6	29	4	11
hsa-miR-6850-3p	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1
hsa-miR-1289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-5p	0	1	1	8	1	0	2	2	0	1	1	1	0	0	0	0
hsa-miR-3127-3p	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0
hsa-miR-100-5p	49597	45440	50450	51283	43200	55598	28806	58626	15171	22129	8180	31510	22804	12505	14249	24016
hsa-miR-4529-3p	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4474-3p	2	2	0	0	3	0	0	1	3	3	2	0	3	1	2	2
hsa-miR-374c-5p	4	1	2	1	1	2	0	3	2	3	2	2	1	2	0	1
hsa-miR-181d-3p	1	1	3	0	0	0	0	2	1	0	3	1	0	2	0	3
hsa-miR-30a-3p	1455	1335	1710	1139	1244	807	946	1394	2103	2804	2840	3095	3026	2975	5113	2578
hsa-miR-4684-5p	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-6762-3p	1	2	2	0	0	1	0	3	0	0	0	0	0	1	0	0
hsa-miR-519c-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-15a-5p	8352	4887	6715	6964	6917	6327	6978	5027	7663	15126	10109	7693	12653	13089	9657	5525
hsa-miR-181b-2-3p	3	14	9	12	7	13	6	7	12	13	26	24	17	21	14	19
hsa-miR-450a-5p	0	17	4	1	3	7	1	1	4	6	4	14	1	2	4	9
hsa-miR-6739-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4776-5p	0	0	0	0	0	0	0	0	1	4	0	0	0	2	0	0
hsa-miR-7848-3p	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-589-5p	168	94	115	164	94	95	138	90	149	193	150	152	328	205	176	88
hsa-miR-6511a-3p	5	15	7	2	2	3	9	8	6	13	18	8	5	6	9	2
hsa-miR-4748	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-1271-5p	19	44	25	16	10	62	12	24	29	26	20	22	76	18	14	25
hsa-miR-4744	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
hsa-miR-4687-5p	1	0	1	1	1	0	0	2	2	5	2	0	1	1	2	1
hsa-miR-4749-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
hsa-miR-4733-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-6816-3p	1	0	0	0	1	0	2	1	3	1	1	1	1	2	1	1
hsa-miR-5193	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1
hsa-miR-5581-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3192-5p	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	1
hsa-miR-29c-3p	11682	11245	8960	9396	7467	6853	7909	13652	4360	6076	4119	4635	4461	4123	4866	3082
hsa-miR-223-5p	103	29	87	61	75	19	90	46	14	10	17	39	21	12	15	10
hsa-miR-5586-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-5682	0	3	1	0	1	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-5680	3	8	1	5	0	2	3	4	5	9	7	5	6	7	7	8
hsa-miR-5685	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4661-5p	0	0	2	2	1	2	1	3	1	3	3	0	8	2	4	1
hsa-miR-299-3p	184	1444	509	236	221	454	170	355	259	263	252	303	573	277	300	202
hsa-miR-4747-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-497-5p	10350	36634	16844	7128	10448	19717	6736	13449	24691	35286	28337	27013	27240	24481	21059	27104
hsa-miR-3928-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3919	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3918	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0
hsa-miR-3917	1	2	0	0	2	0	0	2	0	0	2	0	1	0	0	1
hsa-miR-6858-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-502-5p	68	115	88	64	98	46	64	69	41	63	118	178	71	87	72	104
hsa-miR-3609	9	3	10	1	3	13	15	6	7	10	3	6	4	7	7	14
hsa-miR-610	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
hsa-miR-3157-3p	3	0	2	1	3	3	2	0	2	5	2	4	3	5	1	0
hsa-miR-3927-3p	0	0	0	0	0	0	0	0	4	1	5	0	2	13	1	8
hsa-miR-618	18	26	22	6	12	15	33	17	35	34	11	70	17	39	27	36
hsa-miR-6804-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3180-5p	2	0	2	0	1	0	1	0	3	0	1	0	2	1	0	0
hsa-miR-31-5p	2097	970	8603	22008	4286	177	3339	7064	6802	8646	10051	9671	6459	12602	8352	7703
hsa-miR-431-5p	61	196	217	96	80	26	42	94	187	197	159	301	409	214	156	83
hsa-miR-3120-3p	2	0	2	1	2	0	0	1	1	2	1	0	1	0	0	1
hsa-miR-585-3p	2	5	43	14	7	14	0	17	7	9	33	8	19	15	0	26
hsa-miR-1915-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7i-3p	869	913	774	567	592	334	528	927	823	1198	737	933	532	570	1116	775
hsa-miR-218-1-3p	4	1	3	9	1	0	2	3	0	4	0	1	1	1	2	1
hsa-miR-6817-3p	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
hsa-miR-548g-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6769b-3p	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
hsa-miR-183-5p	40	57	265	58	278	62	137	132	816	841	1228	1571	921	1182	858	2074
hsa-miR-30e-3p	2292	2123	1969	696	1769	1191	1915	1746	1325	1791	1459	2133	1658	1840	1643	2406
hsa-miR-3187-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-6740-5p	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
hsa-miR-382-3p	63	328	217	82	114	124	109	145	83	75	78	86	118	93	77	80
hsa-miR-339-3p	309	390	398	379	195	386	364	507	609	931	753	670	724	1085	564	609
hsa-miR-30d-5p	49134	53691	46908	32872	40884	41010	42315	44522	156547	207501	326639	79849	165458	491297	164494	101267
hsa-miR-21-5p	1019909	688947	1319241	1005710	1281105	339579	934879	1143339	464192	505263	623141	735053	613229	654857	566609	396540
hsa-miR-3186-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3144-5p	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-708-3p	1295	2059	1745	2190	1074	638	1224	1641	272	411	398	582	169	387	277	655
hsa-miR-3129-3p	8	8	10	21	13	6	12	13	0	4	3	11	4	17	6	8
hsa-miR-3619-3p	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0
hsa-miR-4642	1	1	0	0	0	0	1	0	1	0	1	1	2	1	3	0
hsa-miR-4257	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-2-3p	0	0	1	2	2	1	1	1	0	1	2	0	1	3	4	0
hsa-miR-4254	0	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-200c-3p	226	334	1291	255	378	80	232	461	14494	18293	16790	5681	14200	17945	19420	12126
hsa-miR-3664-3p	1	1	2	1	0	0	0	1	11	15	7	14	7	12	9	24
hsa-miR-4446-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
hsa-miR-6860	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-132-3p	378	965	497	234	421	338	360	531	542	450	352	1107	444	359	573	366
hsa-miR-1245a	2	5	7	6	5	3	7	6	5	5	3	13	8	5	5	6
hsa-miR-3667-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0
hsa-miR-5588-5p	2	0	0	0	1	0	0	0	0	2	0	1	1	1	1	0
hsa-miR-6723-5p	1	6	3	0	0	0	2	2	1	7	8	18	5	5	2	2
hsa-miR-518f-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-1287-3p	10	3	6	4	3	5	1	4	2	5	5	8	0	5	4	5
hsa-miR-381-3p	5497	32080	15991	5353	9506	9488	6722	12573	5231	5033	4690	6494	9311	5966	6541	4599
hsa-miR-629-5p	56	20	39	39	21	27	19	27	21	13	23	25	45	28	31	18
hsa-miR-514a-3p	24	2797	796	182	28	5617	73	164	7	6	2	5	29	12	2	6
hsa-miR-369-3p	1672	4937	3046	1175	1741	823	1081	1873	1134	1013	1023	1293	2149	1032	1115	796
hsa-miR-134-5p	398	1358	1059	533	793	466	546	758	361	202	255	533	667	228	289	185
hsa-miR-597-3p	1	3	3	2	0	0	0	2	1	1	3	5	2	4	2	1
hsa-miR-190a-5p	485	727	486	511	399	319	281	367	402	538	512	802	535	403	722	751
hsa-miR-361-3p	1777	2223	1492	1417	803	1119	1480	2155	1658	2840	1922	1919	1656	2418	2264	1550
hsa-miR-513c-3p	0	56	7	2	0	67	0	1	1	0	0	2	1	0	0	1
hsa-miR-943	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-33b-5p	157	119	188	391	154	49	110	164	511	811	1161	324	820	1286	915	151
hsa-miR-885-3p	0	0	0	0	1	0	0	0	6	3	6	1	1	11	0	0
hsa-miR-5188	4	2	3	1	1	1	2	0	1	2	3	3	1	1	2	1
hsa-miR-6815-3p	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-136-3p	4932	29635	14354	6007	9892	7477	5616	12674	5434	6082	4743	7747	6445	5278	6421	5214
hsa-miR-518e-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-7109-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3176	5	2	11	8	8	2	4	2	12	16	25	21	52	19	16	14
hsa-miR-3175	1	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0
hsa-miR-3174	6	2	1	2	0	2	1	0	2	2	1	1	2	7	0	2
hsa-miR-3675-5p	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
hsa-miR-146b-5p	41711	42068	37470	35460	39620	51070	34829	43705	34187	21201	24062	31585	77231	15084	28845	15331
hsa-miR-499b-5p	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
hsa-miR-6508-5p	0	0	0	0	0	0	0	1	2	1	0	0	2	0	0	0
hsa-miR-6815-5p	1	0	0	0	0	0	0	3	0	2	0	0	0	1	0	1
hsa-miR-6738-3p	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0
hsa-miR-5708	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
hsa-miR-6729-5p	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-191-3p	14	5	20	8	13	4	4	15	24	33	27	41	33	28	18	39
hsa-miR-106b-3p	1440	2060	1622	1018	1392	1189	1683	1543	2420	4468	3103	3079	2499	4056	3186	2293
hsa-miR-4769-3p	0	1	0	0	1	1	2	1	0	1	0	0	0	0	0	0
hsa-miR-6731-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5702	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-379-5p	22	240	127	61	79	197	64	53	112	37	67	65	133	32	73	26
hsa-miR-10b-3p	219	385	335	167	249	363	240	385	303	371	338	690	359	245	308	227
hsa-miR-4708-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4709-5p	3	1	2	0	0	1	0	3	0	4	3	1	0	1	0	0
hsa-miR-4680-3p	2	2	0	4	0	0	2	2	0	2	1	1	1	0	2	0
hsa-miR-4753-3p	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1
hsa-miR-4792	552	241	530	416	369	312	984	777	373	240	190	413	188	297	237	278
hsa-miR-6795-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-5703	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6799-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3678-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6862-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-16-1-3p	11	2	7	12	8	3	4	9	18	19	14	15	10	13	13	12
hsa-miR-4658	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6776-3p	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3130-3p	2	3	1	4	2	0	6	1	3	4	2	4	0	1	2	2
hsa-miR-5189-3p	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
hsa-let-7d-5p	7870	4077	7508	6207	7059	2711	5691	6919	5331	11257	6923	7156	6812	10462	5437	6814
hsa-miR-499a-5p	47	78	44	39	33	55	32	54	55	79	80	60	60	108	57	54
hsa-miR-504-5p	13	35	13	6	14	36	24	13	88	72	38	47	9	56	24	23
hsa-miR-6779-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
hsa-miR-2277-5p	15	12	8	20	4	9	10	12	17	12	28	25	27	31	26	29
hsa-let-7c-5p	12095	59899	22937	16355	21251	35382	16394	37227	21707	33183	17878	30017	18522	22407	21163	24833
hsa-miR-5698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6803-5p	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-4708-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-4802-3p	5	2	2	2	3	1	7	4	1	3	2	2	2	2	1	5
hsa-miR-6818-5p	1	1	1	0	1	0	1	2	2	3	4	3	1	3	3	2
hsa-miR-6842-3p	19	8	12	7	8	2	7	10	5	5	7	3	18	7	11	6
hsa-miR-539-3p	414	1398	1090	388	593	257	441	683	234	285	245	457	418	189	320	242
hsa-miR-646	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4756-5p	0	0	1	0	0	0	0	0	2	1	2	1	0	0	0	0
hsa-miR-487b-5p	1	6	5	4	2	0	1	2	1	1	3	4	1	0	1	0
hsa-miR-374b-3p	199	194	216	115	126	79	152	181	176	295	258	184	154	320	186	205
hsa-miR-4776-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6801-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4800-5p	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-6781-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
hsa-miR-455-5p	635	1732	1090	597	1086	503	640	965	2132	3319	2320	3027	1682	2369	1887	5792
hsa-miR-6746-5p	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-203b-3p	0	1	4	1	0	0	0	1	8	27	27	28	18	29	25	46
hsa-miR-579-5p	0	2	3	1	3	1	1	3	2	6	3	3	7	6	3	0
hsa-miR-3152-5p	4	3	7	27	3	3	7	5	2	6	1	5	6	7	5	9
hsa-miR-1306-5p	24	29	8	4	15	10	17	22	34	28	24	12	7	21	13	14
hsa-miR-664b-5p	1	0	2	1	4	3	1	3	0	0	1	1	1	0	1	0
hsa-miR-6811-5p	0	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0
hsa-miR-1537-3p	0	1	0	0	0	0	0	0	0	1	0	1	1	3	0	0
hsa-miR-6847-5p	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
hsa-miR-6734-3p	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
hsa-miR-4757-5p	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
hsa-miR-1224-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
hsa-miR-6787-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-767-5p	6	1	3	0	1	0	5	0	329	220	291	160	176	421	84	427
hsa-miR-506-3p	3	249	80	18	2	993	11	13	4	0	1	6	6	2	1	2
hsa-miR-4784	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4685-3p	2	0	0	1	1	0	2	0	1	1	4	0	1	0	3	2
hsa-miR-6783-3p	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0
hsa-miR-27a-5p	91	47	81	72	85	43	75	50	229	243	314	1402	176	387	449	132
hsa-miR-487a-5p	17	29	14	4	12	3	7	14	2	3	4	9	10	2	6	2
hsa-miR-551a	5	8	2	2	3	3	3	1	4	4	5	3	4	2	7	0
hsa-miR-6737-3p	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0
hsa-miR-3162-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4635	1	1	0	0	0	0	0	0	1	0	0	3	1	1	1	0
hsa-miR-4637	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
hsa-miR-4636	0	0	0	0	1	1	0	0	6	4	6	6	4	5	6	3
hsa-miR-4730	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
hsa-miR-203a-3p	98	716	600	80	60	512	125	113	3158	5840	5669	1519	3671	6180	4472	2316
hsa-let-7a-5p	124913	117571	146520	118561	165438	84347	87738	138067	116825	216502	148913	157889	157601	174324	135412	148529
hsa-miR-4716-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4736	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-502-3p	646	1157	959	705	1109	553	1149	1669	808	1168	1222	1359	930	1128	747	806
hsa-miR-16-2-3p	394	169	323	324	435	127	452	325	273	653	532	620	313	545	637	378
hsa-miR-125a-5p	70494	159912	86027	65727	67561	157698	61740	130264	111526	122890	70038	148838	108200	83834	78996	125035
hsa-miR-4755-5p	0	0	1	0	0	0	0	0	2	3	0	0	2	0	0	2
hsa-miR-4643	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-4753-5p	1	0	0	0	1	0	1	1	0	3	0	0	2	0	0	0
hsa-miR-301b-5p	0	0	0	0	1	1	0	0	0	1	1	3	0	1	1	2
hsa-miR-4648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1908-5p	5	8	1	1	0	1	4	6	0	4	5	3	1	5	1	5
hsa-miR-92a-1-5p	23	18	10	8	14	11	9	22	52	61	74	37	20	59	35	34
hsa-miR-1468-5p	24	214	68	21	22	64	37	71	66	101	83	67	42	116	45	88
hsa-miR-4714-5p	0	1	0	0	1	0	0	0	0	0	1	0	1	4	1	0
hsa-miR-222-3p	7308	26276	10169	5809	4097	14092	4421	7417	17477	21211	18051	28239	14848	21982	13138	14498
hsa-miR-126-3p	65653	53970	45823	24035	36658	37188	38272	26694	33861	43052	26436	35166	34996	39161	48281	22657
hsa-miR-193a-5p	65	43	37	73	27	56	46	40	44	31	32	13	35	41	32	25
hsa-miR-519d-3p	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
